Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
67.240: [GC (Allocation Failure) [PSYoungGen: 174423K->25600K(262144K)] 1122388K->1024764K(2059776K), 0.0183390 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
68.571: [GC (Allocation Failure) [PSYoungGen: 204113K->30720K(262144K)] 1203278K->1050364K(2059776K), 0.0085660 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
70.006: [GC (Allocation Failure) [PSYoungGen: 209216K->5120K(262144K)] 1228860K->1024764K(2059776K), 0.0038737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
71.319: [GC (Allocation Failure) [PSYoungGen: 214343K->15360K(262144K)] 1233987K->1137404K(2059776K), 0.0360459 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
72.656: [GC (Allocation Failure) [PSYoungGen: 234830K->21504K(262144K)] 1356875K->1143548K(2059776K), 0.0030180 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
74.182: [GC (Allocation Failure) [PSYoungGen: 235860K->20480K(262144K)] 1357904K->1142524K(2059776K), 0.0029821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.489: [GC (Allocation Failure) [PSYoungGen: 239959K->25600K(262144K)] 1362004K->1147644K(2059776K), 0.0032930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
76.799: [GC (Allocation Failure) [PSYoungGen: 245082K->35840K(262144K)] 1367126K->1157884K(2059776K), 0.0034551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.646: [GC (Allocation Failure) [PSYoungGen: 199003K->5120K(262144K)] 1321048K->1229564K(2059776K), 0.0213277 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
79.971: [GC (Allocation Failure) [PSYoungGen: 183638K->30720K(262144K)] 1408083K->1255164K(2059776K), 0.0040631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.499: [GC (Allocation Failure) [PSYoungGen: 214339K->5120K(262144K)] 1438784K->1229564K(2059776K), 0.0037411 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
82.820: [GC (Allocation Failure) [PSYoungGen: 183625K->26624K(262144K)] 1408070K->1251068K(2059776K), 0.0036507 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.126: [GC (Allocation Failure) [PSYoungGen: 235853K->27648K(262144K)] 1460297K->1252092K(2059776K), 0.0038850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.655: [GC (Allocation Failure) [PSYoungGen: 252242K->30720K(262144K)] 1476687K->1255164K(2059776K), 0.0037771 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
86.962: [GC (Allocation Failure) [PSYoungGen: 239959K->25600K(262144K)] 1464403K->1250044K(2059776K), 0.0034543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.271: [GC (Allocation Failure) [PSYoungGen: 245081K->30720K(262144K)] 1469525K->1275644K(2059776K), 0.0086674 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
90.030: [GC (Allocation Failure) [PSYoungGen: 229723K->5120K(262144K)] 1474647K->1301244K(2059776K), 0.0311715 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
91.371: [GC (Allocation Failure) [PSYoungGen: 183642K->30720K(262144K)] 1479767K->1429244K(2059776K), 0.0346495 secs] [Times: user=0.03 sys=0.02, real=0.04 secs] 
93.914: [GC (Allocation Failure) [PSYoungGen: 250182K->6144K(262144K)] 1648706K->1404668K(2059776K), 0.0039355 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.222: [GC (Allocation Failure) [PSYoungGen: 230734K->21504K(262144K)] 1629259K->1420028K(2059776K), 0.0037130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.966: [GC (Allocation Failure) [PSYoungGen: 246115K->10240K(262144K)] 1644639K->1408764K(2059776K), 0.0040368 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
98.276: [GC (Allocation Failure) [PSYoungGen: 229729K->35840K(262144K)] 1628254K->1434364K(2059776K), 0.0040580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
99.581: [GC (Allocation Failure) [PSYoungGen: 255328K->35840K(262144K)] 1653853K->1485564K(2059776K), 0.0183194 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
101.124: [GC (Allocation Failure) [PSYoungGen: 260447K->15360K(262144K)] 1710172K->1465084K(2059776K), 0.0039930 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
102.432: [GC (Allocation Failure) [PSYoungGen: 234847K->16384K(262144K)] 1684572K->1466108K(2059776K), 0.0041848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
103.740: [GC (Allocation Failure) [PSYoungGen: 240976K->17408K(262144K)] 1690701K->1467132K(2059776K), 0.0047510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.709: [GC (Allocation Failure) [PSYoungGen: 160086K->15360K(262144K)] 1609810K->1516284K(2059776K), 0.0176728 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
107.040: [GC (Allocation Failure) [PSYoungGen: 193871K->35840K(262144K)] 1694796K->1562364K(2059776K), 0.0164531 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
108.482: [GC (Allocation Failure) [PSYoungGen: 229704K->20480K(262144K)] 1756228K->1547004K(2059776K), 0.0047167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.795: [GC (Allocation Failure) [PSYoungGen: 229709K->15360K(262144K)] 1756234K->1593084K(2059776K), 0.0184709 secs] [Times: user=0.03 sys=0.02, real=0.02 secs] 
111.119: [GC (Allocation Failure) [PSYoungGen: 234835K->20480K(262144K)] 1812559K->1700604K(2059776K), 0.0335720 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
111.152: [Full GC (Ergonomics) [PSYoungGen: 20480K->0K(262144K)] [ParOldGen: 1680124K->174609K(1797632K)] 1700604K->174609K(2059776K), [Metaspace: 2796K->2796K(1056768K)], 0.0300319 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
112.712: [GC (Allocation Failure) [PSYoungGen: 219479K->15360K(262144K)] 394088K->189969K(2059776K), 0.0015954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.024: [GC (Allocation Failure) [PSYoungGen: 234827K->26624K(262144K)] 409436K->201233K(2059776K), 0.0019481 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.338: [GC (Allocation Failure) [PSYoungGen: 246090K->26624K(262144K)] 420700K->201233K(2059776K), 0.0021076 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.196: [GC (Allocation Failure) [PSYoungGen: 174417K->25600K(262144K)] 349027K->251409K(2059776K), 0.0084380 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
118.516: [GC (Allocation Failure) [PSYoungGen: 204110K->30720K(262144K)] 429919K->277009K(2059776K), 0.0044865 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.936: [GC (Allocation Failure) [PSYoungGen: 209213K->5120K(262144K)] 455503K->251409K(2059776K), 0.0012891 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
121.249: [GC (Allocation Failure) [PSYoungGen: 214341K->15360K(262144K)] 460631K->364049K(2059776K), 0.0161483 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
122.580: [GC (Allocation Failure) [PSYoungGen: 234829K->21504K(262144K)] 583519K->370193K(2059776K), 0.0021444 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.108: [GC (Allocation Failure) [PSYoungGen: 235859K->20480K(262144K)] 584549K->369169K(2059776K), 0.0016053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.423: [GC (Allocation Failure) [PSYoungGen: 239959K->25600K(262144K)] 588648K->374289K(2059776K), 0.0018776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.744: [GC (Allocation Failure) [PSYoungGen: 245081K->35840K(262144K)] 593771K->384529K(2059776K), 0.0027754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.613: [GC (Allocation Failure) [PSYoungGen: 199003K->5120K(262144K)] 547693K->456209K(2059776K), 0.0094330 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
129.942: [GC (Allocation Failure) [PSYoungGen: 183638K->30720K(262144K)] 634728K->481809K(2059776K), 0.0029393 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
