Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
198.148: [Full GC (Ergonomics) [PSYoungGen: 5120K->0K(302592K)] [ParOldGen: 647713K->77329K(699392K)] 652833K->77329K(1001984K), [Metaspace: 2796K->2796K(1056768K)], 0.0073736 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
199.578: [GC (Allocation Failure) [PSYoungGen: 230390K->5120K(305152K)] 307720K->133649K(1004544K), 0.0044092 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
200.998: [GC (Allocation Failure) [PSYoungGen: 220225K->5120K(305152K)] 348755K->184849K(1004544K), 0.0079326 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
202.435: [GC (Allocation Failure) [PSYoungGen: 235456K->6144K(306688K)] 415186K->242193K(1006080K), 0.0060077 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
205.179: [GC (Allocation Failure) [PSYoungGen: 226338K->35840K(292864K)] 462388K->271889K(992256K), 0.0032863 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
206.601: [GC (Allocation Failure) [PSYoungGen: 266156K->46080K(286720K)] 502206K->297489K(986112K), 0.0049743 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
208.019: [GC (Allocation Failure) [PSYoungGen: 240241K->20480K(294400K)] 491650K->271889K(993792K), 0.0023849 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
209.435: [GC (Allocation Failure) [PSYoungGen: 250483K->25600K(298496K)] 501892K->328209K(997888K), 0.0061717 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
210.851: [GC (Allocation Failure) [PSYoungGen: 255749K->25600K(297472K)] 558359K->435729K(996864K), 0.0152715 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
212.287: [GC (Allocation Failure) [PSYoungGen: 235271K->25600K(301056K)] 645401K->435729K(1000448K), 0.0024183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
213.706: [GC (Allocation Failure) [PSYoungGen: 255841K->31744K(299520K)] 665971K->446993K(998912K), 0.0028070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
216.330: [GC (Allocation Failure) [PSYoungGen: 282459K->15360K(301056K)] 697708K->430609K(1000448K), 0.0017126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
217.859: [GC (Allocation Failure) [PSYoungGen: 255840K->35840K(287744K)] 671090K->456209K(987136K), 0.0035743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 PSYoungGen      total 287744K, used 240390K [0x00000000eab00000, 0x0000000100000000, 0x0000000100000000)
  eden space 251392K, 81% used [0x00000000eab00000,0x00000000f72c1b20,0x00000000fa080000)
  from space 36352K, 98% used [0x00000000fa080000,0x00000000fc380030,0x00000000fc400000)
  to   space 50688K, 0% used [0x00000000fce80000,0x00000000fce80000,0x0000000100000000)
