Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
34.306: [GC (Allocation Failure) [PSYoungGen: 17472K->17440K(69632K)] 873049K->873017K(1013760K), 0.0015467 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.307: [Full GC (Allocation Failure) [PSYoungGen: 17440K->0K(69632K)] [ParOldGen: 855577K->69137K(944128K)] 873017K->69137K(1013760K), [Metaspace: 2793K->2793K(1056768K)], 0.0068943 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
36.062: [GC (Allocation Failure) [PSYoungGen: 30386K->11264K(69632K)] 376003K->356881K(1013760K), 0.0014909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.715: [GC (Allocation Failure) [PSYoungGen: 42676K->20480K(69632K)] 388294K->366097K(1013760K), 0.0017026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.695: [GC (Allocation Failure) [PSYoungGen: 53936K->20480K(69632K)] 573634K->540177K(1013760K), 0.0019601 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
38.240: [GC (Allocation Failure) [PSYoungGen: 51891K->30720K(69632K)] 571588K->550417K(1013760K), 0.0025075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.113: [GC (Allocation Failure) [PSYoungGen: 62127K->0K(69632K)] 633025K->570897K(1013760K), 0.0011335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.660: [GC (Allocation Failure) [PSYoungGen: 31410K->15360K(69632K)] 602308K->586257K(1013760K), 0.0015611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.315: [GC (Allocation Failure) [PSYoungGen: 48815K->6144K(69632K)] 773312K->730641K(1013760K), 0.0013302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.969: [GC (Allocation Failure) [PSYoungGen: 37554K->15360K(69632K)] 762052K->739857K(1013760K), 0.0016774 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
41.952: [GC (Allocation Failure) [PSYoungGen: 48815K->16384K(69632K)] 947392K->914961K(1013760K), 0.0015041 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.373: [GC (Allocation Failure) [PSYoungGen: 49842K->6144K(69632K)] 948420K->904721K(1013760K), 0.0017723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
43.919: [GC (Allocation Failure) [PSYoungGen: 37551K->21504K(69632K)] 936129K->920081K(1013760K), 0.0018538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.136: [GC (Allocation Failure) [PSYoungGen: 52909K->31744K(69632K)] 951486K->930321K(1013760K), 0.0031010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.140: [GC (Allocation Failure) [PSYoungGen: 31744K->31744K(69632K)] 930321K->930321K(1013760K), 0.0024874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
44.142: [Full GC (Allocation Failure) [PSYoungGen: 31744K->0K(69632K)] [ParOldGen: 898577K->32768K(944128K)] 930321K->32768K(1013760K), [Metaspace: 2795K->2795K(1056768K)], 0.0043935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.240: [GC (Allocation Failure) [PSYoungGen: 33451K->10240K(69632K)] 219820K->196608K(1013760K), 0.0011038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
46.768: [GC (Allocation Failure) [PSYoungGen: 43696K->5120K(69632K)] 404144K->365568K(1013760K), 0.0010690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.425: [GC (Allocation Failure) [PSYoungGen: 38579K->21504K(69632K)] 552627K->535552K(1013760K), 0.0026075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.080: [GC (Allocation Failure) [PSYoungGen: 52917K->30720K(69632K)] 566965K->544768K(1013760K), 0.0028111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.064: [GC (Allocation Failure) [PSYoungGen: 64176K->30720K(69632K)] 752305K->718848K(1013760K), 0.0030243 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
49.610: [GC (Allocation Failure) [PSYoungGen: 62131K->30720K(69632K)] 750259K->729088K(1013760K), 0.0040445 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
50.593: [GC (Allocation Failure) [PSYoungGen: 62127K->0K(69632K)] 914096K->851968K(1013760K), 0.0023123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
51.029: [GC (Allocation Failure) [PSYoungGen: 26290K->15360K(69632K)] 878259K->867328K(1013760K), 0.0020225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
